07-12-2018 15:04:20 [<module>:243] INFO : Initializing TPC-C benchmark using MongodbDriver
07-12-2018 15:04:30 [loadTuples:336] INFO : Loading 2500 tuples for tableName ITEM
07-12-2018 15:04:30 [loadTuples:336] INFO : Loading 2500 tuples for tableName ITEM
07-12-2018 15:04:30 [loadTuples:336] INFO : Loading 2500 tuples for tableName ITEM
07-12-2018 15:04:31 [loadTuples:336] INFO : Loading 2500 tuples for tableName ITEM
07-12-2018 15:04:31 [loadTuples:336] INFO : Loading 2500 tuples for tableName ITEM
07-12-2018 15:04:32 [loadTuples:336] INFO : Loading 2500 tuples for tableName ITEM
07-12-2018 15:04:32 [loadTuples:336] INFO : Loading 2500 tuples for tableName ITEM
07-12-2018 15:04:33 [loadTuples:336] INFO : Loading 2500 tuples for tableName ITEM
07-12-2018 15:04:33 [loadTuples:336] INFO : Loading 2500 tuples for tableName ITEM
07-12-2018 15:04:34 [loadTuples:336] INFO : Loading 2500 tuples for tableName ITEM
07-12-2018 15:04:34 [loadTuples:336] INFO : Loading 2500 tuples for tableName ITEM
07-12-2018 15:04:35 [loadTuples:336] INFO : Loading 2500 tuples for tableName ITEM
07-12-2018 15:04:35 [loadTuples:336] INFO : Loading 2500 tuples for tableName ITEM
07-12-2018 15:04:36 [loadTuples:336] INFO : Loading 2500 tuples for tableName ITEM
07-12-2018 15:04:36 [loadTuples:336] INFO : Loading 2500 tuples for tableName ITEM
07-12-2018 15:04:37 [loadTuples:336] INFO : Loading 2500 tuples for tableName ITEM
07-12-2018 15:04:37 [loadTuples:336] INFO : Loading 1 tuples for tableName DISTRICT
07-12-2018 15:04:37 [loadTuples:336] INFO : Loading 3000 tuples for tableName CUSTOMER
07-12-2018 15:04:37 [loadTuples:336] INFO : Loading 3000 tuples for tableName ORDERS
07-12-2018 15:04:37 [loadTuples:336] INFO : Loading 29826 tuples for tableName ORDER_LINE
07-12-2018 15:04:37 [loadTuples:336] INFO : Loading 1 tuples for tableName DISTRICT
07-12-2018 15:04:37 [loadTuples:336] INFO : Loading 3000 tuples for tableName CUSTOMER
07-12-2018 15:04:37 [loadTuples:336] INFO : Loading 3000 tuples for tableName ORDERS
07-12-2018 15:04:37 [loadTuples:336] INFO : Loading 1 tuples for tableName DISTRICT
07-12-2018 15:04:37 [loadTuples:336] INFO : Loading 3000 tuples for tableName CUSTOMER
07-12-2018 15:04:37 [loadTuples:336] INFO : Loading 3000 tuples for tableName ORDERS
07-12-2018 15:04:37 [loadTuples:336] INFO : Loading 29720 tuples for tableName ORDER_LINE
07-12-2018 15:04:37 [loadTuples:336] INFO : Loading 1 tuples for tableName DISTRICT
07-12-2018 15:04:37 [loadTuples:336] INFO : Loading 3000 tuples for tableName CUSTOMER
07-12-2018 15:04:38 [loadTuples:336] INFO : Loading 2500 tuples for tableName ITEM
07-12-2018 15:04:38 [loadTuples:336] INFO : Loading 29901 tuples for tableName ORDER_LINE
07-12-2018 15:04:38 [loadTuples:336] INFO : Loading 3000 tuples for tableName ORDERS
07-12-2018 15:04:38 [loadTuples:336] INFO : Loading 30011 tuples for tableName ORDER_LINE
07-12-2018 15:04:38 [loadTuples:336] INFO : Loading 900 tuples for tableName NEW_ORDER
07-12-2018 15:04:38 [loadTuples:336] INFO : Loading 3000 tuples for tableName HISTORY
07-12-2018 15:04:38 [loadTuples:336] INFO : Loading 900 tuples for tableName NEW_ORDER
07-12-2018 15:04:38 [loadTuples:336] INFO : Loading 900 tuples for tableName NEW_ORDER
07-12-2018 15:04:38 [loadTuples:336] INFO : Loading 3000 tuples for tableName HISTORY
07-12-2018 15:04:38 [loadTuples:336] INFO : Loading 3000 tuples for tableName HISTORY
07-12-2018 15:04:38 [loadTuples:336] INFO : Loading 900 tuples for tableName NEW_ORDER
07-12-2018 15:04:38 [loadTuples:336] INFO : Loading 3000 tuples for tableName HISTORY
07-12-2018 15:04:38 [loadTuples:336] INFO : Loading 2500 tuples for tableName ITEM
07-12-2018 15:04:39 [loadTuples:336] INFO : Loading 2500 tuples for tableName ITEM
07-12-2018 15:04:40 [loadTuples:336] INFO : Loading 2500 tuples for tableName ITEM
07-12-2018 15:04:41 [loadTuples:336] INFO : Loading 2500 tuples for tableName ITEM
07-12-2018 15:04:41 [loadTuples:336] INFO : Loading 2500 tuples for tableName ITEM
07-12-2018 15:04:42 [loadTuples:336] INFO : Loading 2500 tuples for tableName ITEM
07-12-2018 15:04:42 [loadTuples:336] INFO : Loading 2500 tuples for tableName ITEM
07-12-2018 15:05:01 [loadTuples:336] INFO : Loading 1 tuples for tableName DISTRICT
07-12-2018 15:05:01 [loadTuples:336] INFO : Loading 3000 tuples for tableName CUSTOMER
07-12-2018 15:05:01 [loadTuples:336] INFO : Loading 3000 tuples for tableName ORDERS
07-12-2018 15:05:01 [loadTuples:336] INFO : Loading 29871 tuples for tableName ORDER_LINE
07-12-2018 15:05:01 [loadTuples:336] INFO : Loading 1 tuples for tableName DISTRICT
07-12-2018 15:05:01 [loadTuples:336] INFO : Loading 3000 tuples for tableName CUSTOMER
07-12-2018 15:05:01 [loadTuples:336] INFO : Loading 3000 tuples for tableName ORDERS
07-12-2018 15:05:01 [loadTuples:336] INFO : Loading 1 tuples for tableName DISTRICT
07-12-2018 15:05:01 [loadTuples:336] INFO : Loading 3000 tuples for tableName CUSTOMER
07-12-2018 15:05:01 [loadTuples:336] INFO : Loading 3000 tuples for tableName ORDERS
07-12-2018 15:05:01 [loadTuples:336] INFO : Loading 30188 tuples for tableName ORDER_LINE
07-12-2018 15:05:01 [loadTuples:336] INFO : Loading 1 tuples for tableName DISTRICT
07-12-2018 15:05:01 [loadTuples:336] INFO : Loading 3000 tuples for tableName CUSTOMER
07-12-2018 15:05:01 [loadTuples:336] INFO : Loading 30087 tuples for tableName ORDER_LINE
07-12-2018 15:05:01 [loadTuples:336] INFO : Loading 3000 tuples for tableName ORDERS
07-12-2018 15:05:01 [loadTuples:336] INFO : Loading 30134 tuples for tableName ORDER_LINE
07-12-2018 15:05:01 [loadTuples:336] INFO : Loading 900 tuples for tableName NEW_ORDER
07-12-2018 15:05:01 [loadTuples:336] INFO : Loading 3000 tuples for tableName HISTORY
07-12-2018 15:05:01 [loadTuples:336] INFO : Loading 900 tuples for tableName NEW_ORDER
07-12-2018 15:05:01 [loadTuples:336] INFO : Loading 3000 tuples for tableName HISTORY
07-12-2018 15:05:02 [loadTuples:336] INFO : Loading 900 tuples for tableName NEW_ORDER
07-12-2018 15:05:02 [loadTuples:336] INFO : Loading 3000 tuples for tableName HISTORY
07-12-2018 15:05:02 [loadTuples:336] INFO : Loading 900 tuples for tableName NEW_ORDER
07-12-2018 15:05:02 [loadTuples:336] INFO : Loading 3000 tuples for tableName HISTORY
07-12-2018 15:05:25 [loadTuples:336] INFO : Loading 1 tuples for tableName DISTRICT
07-12-2018 15:05:25 [loadTuples:336] INFO : Loading 3000 tuples for tableName CUSTOMER
07-12-2018 15:05:25 [loadTuples:336] INFO : Loading 1 tuples for tableName DISTRICT
07-12-2018 15:05:25 [loadTuples:336] INFO : Loading 1 tuples for tableName DISTRICT
07-12-2018 15:05:25 [loadTuples:336] INFO : Loading 3000 tuples for tableName CUSTOMER
07-12-2018 15:05:25 [loadTuples:336] INFO : Loading 3000 tuples for tableName CUSTOMER
07-12-2018 15:05:25 [loadTuples:336] INFO : Loading 1 tuples for tableName DISTRICT
07-12-2018 15:05:25 [loadTuples:336] INFO : Loading 3000 tuples for tableName ORDERS
07-12-2018 15:05:25 [loadTuples:336] INFO : Loading 3000 tuples for tableName CUSTOMER
07-12-2018 15:05:25 [loadTuples:336] INFO : Loading 3000 tuples for tableName ORDERS
07-12-2018 15:05:25 [loadTuples:336] INFO : Loading 3000 tuples for tableName ORDERS
07-12-2018 15:05:25 [loadTuples:336] INFO : Loading 30088 tuples for tableName ORDER_LINE
07-12-2018 15:05:25 [loadTuples:336] INFO : Loading 3000 tuples for tableName ORDERS
07-12-2018 15:05:25 [loadTuples:336] INFO : Loading 30197 tuples for tableName ORDER_LINE
07-12-2018 15:05:25 [loadTuples:336] INFO : Loading 30079 tuples for tableName ORDER_LINE
07-12-2018 15:05:25 [loadTuples:336] INFO : Loading 30079 tuples for tableName ORDER_LINE
07-12-2018 15:05:25 [loadTuples:336] INFO : Loading 900 tuples for tableName NEW_ORDER
07-12-2018 15:05:25 [loadTuples:336] INFO : Loading 900 tuples for tableName NEW_ORDER
07-12-2018 15:05:25 [loadTuples:336] INFO : Loading 3000 tuples for tableName HISTORY
07-12-2018 15:05:25 [loadTuples:336] INFO : Loading 900 tuples for tableName NEW_ORDER
07-12-2018 15:05:25 [loadTuples:336] INFO : Loading 900 tuples for tableName NEW_ORDER
07-12-2018 15:05:25 [loadTuples:336] INFO : Loading 3000 tuples for tableName HISTORY
07-12-2018 15:05:25 [loadTuples:336] INFO : Loading 3000 tuples for tableName HISTORY
07-12-2018 15:05:25 [loadTuples:336] INFO : Loading 3000 tuples for tableName HISTORY
07-12-2018 15:05:49 [loadTuples:336] INFO : Loading 1 tuples for tableName DISTRICT
07-12-2018 15:05:49 [loadTuples:336] INFO : Loading 3000 tuples for tableName CUSTOMER
07-12-2018 15:05:49 [loadTuples:336] INFO : Loading 3000 tuples for tableName ORDERS
07-12-2018 15:05:49 [loadTuples:336] INFO : Loading 1 tuples for tableName DISTRICT
07-12-2018 15:05:49 [loadTuples:336] INFO : Loading 3000 tuples for tableName CUSTOMER
07-12-2018 15:05:49 [loadTuples:336] INFO : Loading 30397 tuples for tableName ORDER_LINE
07-12-2018 15:05:49 [loadTuples:336] INFO : Loading 1 tuples for tableName DISTRICT
07-12-2018 15:05:49 [loadTuples:336] INFO : Loading 3000 tuples for tableName CUSTOMER
07-12-2018 15:05:49 [loadTuples:336] INFO : Loading 3000 tuples for tableName ORDERS
07-12-2018 15:05:49 [loadTuples:336] INFO : Loading 3000 tuples for tableName ORDERS
07-12-2018 15:05:49 [loadTuples:336] INFO : Loading 1 tuples for tableName DISTRICT
07-12-2018 15:05:49 [loadTuples:336] INFO : Loading 3000 tuples for tableName CUSTOMER
07-12-2018 15:05:49 [loadTuples:336] INFO : Loading 30021 tuples for tableName ORDER_LINE
07-12-2018 15:05:50 [loadTuples:336] INFO : Loading 30043 tuples for tableName ORDER_LINE
07-12-2018 15:05:50 [loadTuples:336] INFO : Loading 3000 tuples for tableName ORDERS
07-12-2018 15:05:50 [loadTuples:336] INFO : Loading 29905 tuples for tableName ORDER_LINE
07-12-2018 15:05:50 [loadTuples:336] INFO : Loading 900 tuples for tableName NEW_ORDER
07-12-2018 15:05:50 [loadTuples:336] INFO : Loading 3000 tuples for tableName HISTORY
07-12-2018 15:05:50 [loadTuples:336] INFO : Loading 900 tuples for tableName NEW_ORDER
07-12-2018 15:05:50 [loadTuples:336] INFO : Loading 3000 tuples for tableName HISTORY
07-12-2018 15:05:50 [loadTuples:336] INFO : Loading 900 tuples for tableName NEW_ORDER
07-12-2018 15:05:50 [loadTuples:336] INFO : Loading 900 tuples for tableName NEW_ORDER
07-12-2018 15:05:50 [loadTuples:336] INFO : Loading 3000 tuples for tableName HISTORY
07-12-2018 15:05:50 [loadTuples:336] INFO : Loading 3000 tuples for tableName HISTORY
07-12-2018 15:06:13 [loadTuples:336] INFO : Loading 1 tuples for tableName DISTRICT
07-12-2018 15:06:13 [loadTuples:336] INFO : Loading 3000 tuples for tableName CUSTOMER
07-12-2018 15:06:13 [loadTuples:336] INFO : Loading 1 tuples for tableName DISTRICT
07-12-2018 15:06:13 [loadTuples:336] INFO : Loading 3000 tuples for tableName CUSTOMER
07-12-2018 15:06:13 [loadTuples:336] INFO : Loading 3000 tuples for tableName ORDERS
07-12-2018 15:06:13 [loadTuples:336] INFO : Loading 1 tuples for tableName DISTRICT
07-12-2018 15:06:13 [loadTuples:336] INFO : Loading 3000 tuples for tableName CUSTOMER
07-12-2018 15:06:13 [loadTuples:336] INFO : Loading 3000 tuples for tableName ORDERS
07-12-2018 15:06:13 [loadTuples:336] INFO : Loading 30256 tuples for tableName ORDER_LINE
07-12-2018 15:06:13 [loadTuples:336] INFO : Loading 3000 tuples for tableName ORDERS
07-12-2018 15:06:13 [loadTuples:336] INFO : Loading 30020 tuples for tableName ORDER_LINE
07-12-2018 15:06:13 [loadTuples:336] INFO : Loading 30143 tuples for tableName ORDER_LINE
07-12-2018 15:06:13 [loadTuples:336] INFO : Loading 1 tuples for tableName DISTRICT
07-12-2018 15:06:13 [loadTuples:336] INFO : Loading 3000 tuples for tableName CUSTOMER
07-12-2018 15:06:13 [loadTuples:336] INFO : Loading 3000 tuples for tableName ORDERS
07-12-2018 15:06:13 [loadTuples:336] INFO : Loading 30059 tuples for tableName ORDER_LINE
07-12-2018 15:06:13 [loadTuples:336] INFO : Loading 900 tuples for tableName NEW_ORDER
07-12-2018 15:06:13 [loadTuples:336] INFO : Loading 900 tuples for tableName NEW_ORDER
07-12-2018 15:06:13 [loadTuples:336] INFO : Loading 3000 tuples for tableName HISTORY
07-12-2018 15:06:13 [loadTuples:336] INFO : Loading 3000 tuples for tableName HISTORY
07-12-2018 15:06:13 [loadTuples:336] INFO : Loading 900 tuples for tableName NEW_ORDER
07-12-2018 15:06:14 [loadTuples:336] INFO : Loading 3000 tuples for tableName HISTORY
07-12-2018 15:06:14 [loadTuples:336] INFO : Loading 900 tuples for tableName NEW_ORDER
07-12-2018 15:06:14 [loadTuples:336] INFO : Loading 3000 tuples for tableName HISTORY
07-12-2018 15:06:39 [loadTuples:336] INFO : Loading 1 tuples for tableName DISTRICT
07-12-2018 15:06:39 [loadTuples:336] INFO : Loading 3000 tuples for tableName CUSTOMER
07-12-2018 15:06:39 [loadTuples:336] INFO : Loading 1 tuples for tableName DISTRICT
07-12-2018 15:06:39 [loadTuples:336] INFO : Loading 3000 tuples for tableName CUSTOMER
07-12-2018 15:06:39 [loadTuples:336] INFO : Loading 3000 tuples for tableName ORDERS
07-12-2018 15:06:39 [loadTuples:336] INFO : Loading 3000 tuples for tableName ORDERS
07-12-2018 15:06:39 [loadTuples:336] INFO : Loading 29823 tuples for tableName ORDER_LINE
07-12-2018 15:06:39 [loadTuples:336] INFO : Loading 29828 tuples for tableName ORDER_LINE
07-12-2018 15:06:39 [loadTuples:336] INFO : Loading 1 tuples for tableName DISTRICT
07-12-2018 15:06:39 [loadTuples:336] INFO : Loading 3000 tuples for tableName CUSTOMER
07-12-2018 15:06:39 [loadTuples:336] INFO : Loading 900 tuples for tableName NEW_ORDER
07-12-2018 15:06:39 [loadTuples:336] INFO : Loading 3000 tuples for tableName ORDERS
07-12-2018 15:06:39 [loadTuples:336] INFO : Loading 900 tuples for tableName NEW_ORDER
07-12-2018 15:06:39 [loadTuples:336] INFO : Loading 1 tuples for tableName DISTRICT
07-12-2018 15:06:40 [loadTuples:336] INFO : Loading 3000 tuples for tableName CUSTOMER
07-12-2018 15:06:39 [loadTuples:336] INFO : Loading 3000 tuples for tableName HISTORY
07-12-2018 15:06:40 [loadTuples:336] INFO : Loading 29991 tuples for tableName ORDER_LINE
07-12-2018 15:06:40 [loadTuples:336] INFO : Loading 3000 tuples for tableName HISTORY
07-12-2018 15:06:40 [loadTuples:336] INFO : Loading 3000 tuples for tableName ORDERS
07-12-2018 15:06:40 [loadTuples:336] INFO : Loading 30031 tuples for tableName ORDER_LINE
07-12-2018 15:06:40 [loadTuples:336] INFO : Loading 900 tuples for tableName NEW_ORDER
07-12-2018 15:06:40 [loadTuples:336] INFO : Loading 3000 tuples for tableName HISTORY
07-12-2018 15:06:40 [loadTuples:336] INFO : Loading 900 tuples for tableName NEW_ORDER
07-12-2018 15:06:40 [loadTuples:336] INFO : Loading 3000 tuples for tableName HISTORY
07-12-2018 15:07:03 [loadTuples:336] INFO : Loading 1 tuples for tableName DISTRICT
07-12-2018 15:07:03 [loadTuples:336] INFO : Loading 3000 tuples for tableName CUSTOMER
07-12-2018 15:07:03 [loadTuples:336] INFO : Loading 3000 tuples for tableName ORDERS
07-12-2018 15:07:03 [loadTuples:336] INFO : Loading 29800 tuples for tableName ORDER_LINE
07-12-2018 15:07:04 [loadTuples:336] INFO : Loading 1 tuples for tableName DISTRICT
07-12-2018 15:07:04 [loadTuples:336] INFO : Loading 3000 tuples for tableName CUSTOMER
07-12-2018 15:07:04 [loadTuples:336] INFO : Loading 3000 tuples for tableName ORDERS
07-12-2018 15:07:04 [loadTuples:336] INFO : Loading 30135 tuples for tableName ORDER_LINE
07-12-2018 15:07:04 [loadTuples:336] INFO : Loading 900 tuples for tableName NEW_ORDER
07-12-2018 15:07:04 [loadTuples:336] INFO : Loading 3000 tuples for tableName HISTORY
07-12-2018 15:07:04 [loadTuples:336] INFO : Loading 1 tuples for tableName DISTRICT
07-12-2018 15:07:04 [loadTuples:336] INFO : Loading 3000 tuples for tableName CUSTOMER
07-12-2018 15:07:04 [loadTuples:336] INFO : Loading 900 tuples for tableName NEW_ORDER
07-12-2018 15:07:04 [loadTuples:336] INFO : Loading 3000 tuples for tableName ORDERS
07-12-2018 15:07:04 [loadTuples:336] INFO : Loading 3000 tuples for tableName HISTORY
07-12-2018 15:07:05 [loadTuples:336] INFO : Loading 29929 tuples for tableName ORDER_LINE
07-12-2018 15:07:05 [loadTuples:336] INFO : Loading 1 tuples for tableName DISTRICT
07-12-2018 15:07:05 [loadTuples:336] INFO : Loading 3000 tuples for tableName CUSTOMER
07-12-2018 15:07:05 [loadTuples:336] INFO : Loading 3000 tuples for tableName ORDERS
07-12-2018 15:07:05 [loadTuples:336] INFO : Loading 30023 tuples for tableName ORDER_LINE
07-12-2018 15:07:05 [loadTuples:336] INFO : Loading 900 tuples for tableName NEW_ORDER
07-12-2018 15:07:05 [loadTuples:336] INFO : Loading 3000 tuples for tableName HISTORY
07-12-2018 15:07:05 [loadTuples:336] INFO : Loading 900 tuples for tableName NEW_ORDER
07-12-2018 15:07:05 [loadTuples:336] INFO : Loading 3000 tuples for tableName HISTORY
07-12-2018 15:07:29 [loadTuples:336] INFO : Loading 1 tuples for tableName DISTRICT
07-12-2018 15:07:29 [loadTuples:336] INFO : Loading 3000 tuples for tableName CUSTOMER
07-12-2018 15:07:29 [loadTuples:336] INFO : Loading 3000 tuples for tableName ORDERS
07-12-2018 15:07:29 [loadTuples:336] INFO : Loading 29783 tuples for tableName ORDER_LINE
07-12-2018 15:07:29 [loadTuples:336] INFO : Loading 900 tuples for tableName NEW_ORDER
07-12-2018 15:07:29 [loadTuples:336] INFO : Loading 3000 tuples for tableName HISTORY
07-12-2018 15:07:30 [loadTuples:336] INFO : Loading 1 tuples for tableName DISTRICT
07-12-2018 15:07:30 [loadTuples:336] INFO : Loading 3000 tuples for tableName CUSTOMER
07-12-2018 15:07:30 [loadTuples:336] INFO : Loading 3000 tuples for tableName ORDERS
07-12-2018 15:07:30 [loadTuples:336] INFO : Loading 30248 tuples for tableName ORDER_LINE
07-12-2018 15:07:30 [loadTuples:336] INFO : Loading 900 tuples for tableName NEW_ORDER
07-12-2018 15:07:30 [loadTuples:336] INFO : Loading 1 tuples for tableName DISTRICT
07-12-2018 15:07:30 [loadTuples:336] INFO : Loading 3000 tuples for tableName CUSTOMER
07-12-2018 15:07:30 [loadTuples:336] INFO : Loading 3000 tuples for tableName HISTORY
07-12-2018 15:07:30 [loadTuples:336] INFO : Loading 3000 tuples for tableName ORDERS
07-12-2018 15:07:30 [loadTuples:336] INFO : Loading 29772 tuples for tableName ORDER_LINE
07-12-2018 15:07:30 [loadTuples:336] INFO : Loading 1 tuples for tableName DISTRICT
07-12-2018 15:07:30 [loadTuples:336] INFO : Loading 3000 tuples for tableName CUSTOMER
07-12-2018 15:07:31 [loadTuples:336] INFO : Loading 3000 tuples for tableName ORDERS
07-12-2018 15:07:31 [loadTuples:336] INFO : Loading 30408 tuples for tableName ORDER_LINE
07-12-2018 15:07:31 [loadTuples:336] INFO : Loading 900 tuples for tableName NEW_ORDER
07-12-2018 15:07:31 [loadTuples:336] INFO : Loading 3000 tuples for tableName HISTORY
07-12-2018 15:07:31 [loadTuples:336] INFO : Loading 900 tuples for tableName NEW_ORDER
07-12-2018 15:07:31 [loadTuples:336] INFO : Loading 3000 tuples for tableName HISTORY
07-12-2018 15:07:53 [loadTuples:336] INFO : Loading 1 tuples for tableName DISTRICT
07-12-2018 15:07:53 [loadTuples:336] INFO : Loading 3000 tuples for tableName CUSTOMER
07-12-2018 15:07:53 [loadTuples:336] INFO : Loading 3000 tuples for tableName ORDERS
07-12-2018 15:07:54 [loadTuples:336] INFO : Loading 30216 tuples for tableName ORDER_LINE
07-12-2018 15:07:54 [loadTuples:336] INFO : Loading 900 tuples for tableName NEW_ORDER
07-12-2018 15:07:54 [loadTuples:336] INFO : Loading 3000 tuples for tableName HISTORY
07-12-2018 15:07:54 [loadTuples:336] INFO : Loading 1 tuples for tableName DISTRICT
07-12-2018 15:07:54 [loadTuples:336] INFO : Loading 3000 tuples for tableName CUSTOMER
07-12-2018 15:07:54 [loadTuples:336] INFO : Loading 3000 tuples for tableName ORDERS
07-12-2018 15:07:54 [loadTuples:336] INFO : Loading 29765 tuples for tableName ORDER_LINE
07-12-2018 15:07:54 [loadTuples:336] INFO : Loading 1 tuples for tableName DISTRICT
07-12-2018 15:07:55 [loadTuples:336] INFO : Loading 3000 tuples for tableName CUSTOMER
07-12-2018 15:07:55 [loadTuples:336] INFO : Loading 900 tuples for tableName NEW_ORDER
07-12-2018 15:07:55 [loadTuples:336] INFO : Loading 1 tuples for tableName DISTRICT
07-12-2018 15:07:55 [loadTuples:336] INFO : Loading 3000 tuples for tableName CUSTOMER
07-12-2018 15:07:55 [loadTuples:336] INFO : Loading 3000 tuples for tableName ORDERS
07-12-2018 15:07:55 [loadTuples:336] INFO : Loading 3000 tuples for tableName HISTORY
07-12-2018 15:07:55 [loadTuples:336] INFO : Loading 3000 tuples for tableName ORDERS
07-12-2018 15:07:55 [loadTuples:336] INFO : Loading 29957 tuples for tableName ORDER_LINE
07-12-2018 15:07:55 [loadTuples:336] INFO : Loading 29773 tuples for tableName ORDER_LINE
07-12-2018 15:07:55 [loadTuples:336] INFO : Loading 900 tuples for tableName NEW_ORDER
07-12-2018 15:07:55 [loadTuples:336] INFO : Loading 900 tuples for tableName NEW_ORDER
07-12-2018 15:07:55 [loadTuples:336] INFO : Loading 3000 tuples for tableName HISTORY
07-12-2018 15:07:55 [loadTuples:336] INFO : Loading 3000 tuples for tableName HISTORY
07-12-2018 15:08:11 [loadTuples:336] INFO : Loading 1 tuples for tableName WAREHOUSE
07-12-2018 15:08:17 [loadTuples:336] INFO : Loading 1 tuples for tableName DISTRICT
07-12-2018 15:08:17 [loadTuples:336] INFO : Loading 3000 tuples for tableName CUSTOMER
07-12-2018 15:08:17 [loadTuples:336] INFO : Loading 3000 tuples for tableName ORDERS
07-12-2018 15:08:17 [loadTuples:336] INFO : Loading 29821 tuples for tableName ORDER_LINE
07-12-2018 15:08:18 [loadTuples:336] INFO : Loading 900 tuples for tableName NEW_ORDER
07-12-2018 15:08:18 [loadTuples:336] INFO : Loading 3000 tuples for tableName HISTORY
07-12-2018 15:08:18 [loadTuples:336] INFO : Loading 1 tuples for tableName DISTRICT
07-12-2018 15:08:18 [loadTuples:336] INFO : Loading 3000 tuples for tableName CUSTOMER
07-12-2018 15:08:18 [loadTuples:336] INFO : Loading 3000 tuples for tableName ORDERS
07-12-2018 15:08:18 [loadTuples:336] INFO : Loading 30049 tuples for tableName ORDER_LINE
07-12-2018 15:08:18 [loadTuples:336] INFO : Loading 1 tuples for tableName DISTRICT
07-12-2018 15:08:18 [loadTuples:336] INFO : Loading 3000 tuples for tableName CUSTOMER
07-12-2018 15:08:18 [loadTuples:336] INFO : Loading 900 tuples for tableName NEW_ORDER
07-12-2018 15:08:18 [loadTuples:336] INFO : Loading 3000 tuples for tableName ORDERS
07-12-2018 15:08:18 [loadTuples:336] INFO : Loading 1 tuples for tableName DISTRICT
07-12-2018 15:08:18 [loadTuples:336] INFO : Loading 3000 tuples for tableName CUSTOMER
07-12-2018 15:08:18 [loadTuples:336] INFO : Loading 3000 tuples for tableName HISTORY
07-12-2018 15:08:18 [loadTuples:336] INFO : Loading 3000 tuples for tableName ORDERS
07-12-2018 15:08:18 [loadTuples:336] INFO : Loading 30131 tuples for tableName ORDER_LINE
07-12-2018 15:08:19 [loadTuples:336] INFO : Loading 29869 tuples for tableName ORDER_LINE
07-12-2018 15:08:19 [loadTuples:336] INFO : Loading 900 tuples for tableName NEW_ORDER
07-12-2018 15:08:19 [loadTuples:336] INFO : Loading 900 tuples for tableName NEW_ORDER
07-12-2018 15:08:19 [loadTuples:336] INFO : Loading 3000 tuples for tableName HISTORY
07-12-2018 15:08:19 [loadTuples:336] INFO : Loading 3000 tuples for tableName HISTORY
07-12-2018 15:08:23 [loadTuples:336] INFO : Loading 2500 tuples for tableName STOCK
07-12-2018 15:08:23 [loadTuples:336] INFO : Loading 2500 tuples for tableName STOCK
07-12-2018 15:08:23 [loadTuples:336] INFO : Loading 2500 tuples for tableName STOCK
07-12-2018 15:08:23 [loadTuples:336] INFO : Loading 2500 tuples for tableName STOCK
07-12-2018 15:08:25 [loadTuples:336] INFO : Loading 2500 tuples for tableName STOCK
07-12-2018 15:08:26 [loadTuples:336] INFO : Loading 2500 tuples for tableName STOCK
07-12-2018 15:08:26 [loadTuples:336] INFO : Loading 2500 tuples for tableName STOCK
07-12-2018 15:08:26 [loadTuples:336] INFO : Loading 2500 tuples for tableName STOCK
07-12-2018 15:08:28 [loadTuples:336] INFO : Loading 2500 tuples for tableName STOCK
07-12-2018 15:08:28 [loadTuples:336] INFO : Loading 2500 tuples for tableName STOCK
07-12-2018 15:08:29 [loadTuples:336] INFO : Loading 2500 tuples for tableName STOCK
